basin_id,annual_precip_mm,valid_pixels,basin_area_km2
10032000,1420.7652903370347,20,466.20121177289883
10137500,1274.2095913833232,18,419.58109059560894
10174500,617.2543464020104,34,792.542060013928
10259000,437.8071641911058,1,23.31006058864494
10263000,241.93290625216832,192,4475.531633019828
10263500,434.2967013481923,2,46.62012117728988
10293000,816.2637912447676,43,1002.3326053117324
10312000,863.6976453957302,135,3146.858179467067
10315500,460.821587248505,44,1025.6426659003773
10316500,1103.9841532001767,4,93.24024235457976
10329500,708.6289827944955,21,489.5112723615438
10337500,1962.1657760632552,64,1491.8438776732762
10344400,2109.3437631390952,19,442.8911511842539
10346000,2032.2369472843666,113,2634.036846516878
11012500,718.2362576086052,11,256.41066647509433
11043000,450.01448689786264,28,652.6816964820583
11046000,539.0541039455901,85,1981.3551500348199
11051500,915.7112501294903,27,629.3716358934134
11051501,915.7112501294903,27,629.3716358934134
11055800,819.9257766219753,2,46.62012117728988
11063680,712.7214455297467,1,23.31006058864494
11113500,618.844045155636,5,116.55030294322471
11119500,576.3033923099907,2,46.62012117728988
11124500,594.3540272119924,12,279.7207270637393
11140000,501.81569121981664,60,1398.6036353186964
11152500,492.43125418049067,464,10815.868113131253
11156500,574.8613726875914,31,722.6118782479932
11160500,1256.0313069133301,13,303.0307876523842
11169500,926.7696477437954,2,46.62012117728988
11182500,1033.201780070965,1,23.31006058864494
11186001,1258.0086316904444,101,2354.316119453139
11208000,2041.1802103241946,5,116.55030294322471
11230500,1462.3969925074157,6,139.86036353186964
11237500,2069.2162986124,3,69.93018176593482
11266500,2283.014173883035,39,909.0923629571527
11274500,617.7861399449204,17,396.271030006964
11292000,2835.613965136234,6,139.86036353186964
11296500,2953.9916783203366,5,116.55030294322471
11315000,3506.1611193242743,4,93.24024235457976
11318500,2684.9973110103497,10,233.10060588644942
11335000,2444.545660702595,67,1561.774059439211
11368000,2268.9278249317954,71,1655.0143017937908
11374000,1622.69053578986,51,1188.8130900208919
11413000,3786.6066848833993,32,745.9219388366381
11439500,3198.3477290549604,23,536.1313935388337
11439501,3198.3477290549604,23,536.1313935388337
11468500,2035.3248101795316,14,326.34084824102916
11476500,2658.581873255315,66,1538.463998850566
11520500,1216.4005502468788,950,22144.557559212695
11522500,2531.485010136027,87,2027.9752712121099
11532500,3822.7244052470314,72,1678.3243623824358
12010000,2406.6328613417445,8,186.48048470915953
12020000,1988.028210372326,14,326.34084824102916
12025000,1705.9883065617291,19,442.8911511842539
12048000,1574.3782318421502,19,442.8911511842539
12056500,3587.632015147782,7,163.17042412051458
12115000,3134.2291518607544,7,163.17042412051458
12115500,3083.5351264601054,2,46.62012117728988
12134500,3593.1708536112073,66,1538.463998850566
12167000,2838.704547693611,32,745.9219388366381
12189500,3636.0611022602334,87,2027.9752712121099
12329500,627.6567769680993,25,582.7515147161236
12431000,539.215853728928,77,1794.8746653256605
12459000,2053.245080997088,116,2703.9670282828133
13082500,328.36211661594325,75,1748.2545441483705
13112000,601.7701733886009,47,1095.5728476663123
13148500,979.4455034106363,36,839.1621811912179
13181000,512.1167836701836,860,20046.652106234647
13185000,1504.721268570196,99,2307.695998275849
13200000,1068.586037935714,52,1212.1231506095369
13235000,1756.0473521625515,57,1328.6734535527617
13246000,1518.0871971946963,110,2564.1066647509433
14020000,1796.4915640880668,17,396.271030006964
14091500,2579.4766320014405,38,885.7823023685078
14113000,1254.419369356422,153,3566.439270062676
14123500,2196.3487624829427,44,1025.6426659003773
14137000,3228.803861326165,33,769.231999425283
14141500,3084.720572220528,1,23.31006058864494
14145500,2680.115790379636,48,1118.882908254957
14159500,2974.5162429963675,26,606.0615753047684
14169000,1213.9903860614559,32,745.9219388366381
14209500,2793.375595843962,57,1328.6734535527617
14222500,3079.5350430135004,16,372.96096941831905
14226500,3597.740715221762,37,862.4722417798628
14301000,1767.7599951269804,81,1888.11490768024
14301500,2913.4449103077286,21,489.5112723615438
14305500,2934.08756568776,28,652.6816964820583
14306500,1864.2331423698004,40,932.4024235457977
14309000,1414.113241600343,11,256.41066647509433
14338000,1802.4436561868135,15,349.6509088296741
5017500,571.8498431823419,1,23.31006058864494
6062500,626.8125733494444,4,93.24024235457976
6089000,515.5835511761647,207,4825.182541849503
6120500,386.46882134702605,131,3053.617937112487
6207500,499.894509686567,149,3473.1990277080963
6635000,331.2871379647338,244,5687.654783629366
7215500,363.9314218878798,22,512.8213329501887
8263500,352.7064877731379,625,14568.787867903087
8265000,485.94553191271444,15,349.6509088296741
8289000,441.4217881725864,51,1188.8130900208919
8378500,576.1297900290309,20,466.20121177289883
9024000,751.946813462527,4,93.24024235457976
9032000,862.7901815084527,2,46.62012117728988
9059500,933.2841866613378,10,233.10060588644942
9143500,1008.3297069570742,5,116.55030294322471
9165000,1141.6268320625147,14,326.34084824102916
9188500,1240.3727363303442,55,1282.0533323754717
9255000,769.8592370569861,19,442.8911511842539
9260000,406.0833345963207,457,10652.697689010738
9277500,994.7541664735028,46,1072.2627870776673
9292500,695.7689762543131,16,372.96096941831905
9304500,936.562046783794,90,2097.9054529780447
9330500,861.3021459975729,12,279.7207270637393
9372000,370.17245601893075,41,955.7124841344425
9444000,315.37707684958286,191,4452.221572431184
9504500,890.2352450387313,44,1025.6426659003773
